indice_tiempo,emisivo_aerea_bolivia,emisivo_aerea_europa,emisivo_aerea_chile,emisivo_aerea_paraguay,emisivo_aerea_brasil,emisivo_aerea_ee_uu_y_canada,emisivo_aerea_resto_de_america,emisivo_aerea_resto_del_mundo,emisivo_aerea_uruguay,emisivo_terrestre_bolivia,emisivo_terrestre_europa,emisivo_terrestre_chile,emisivo_terrestre_paraguay,emisivo_terrestre_brasil,emisivo_terrestre_ee_uu_y_canada,emisivo_terrestre_resto_de_america,emisivo_terrestre_resto_del_mundo,emisivo_terrestre_uruguay,emisivo_fluvial_maritima_bolivia,emisivo_fluvial_maritima_europa,emisivo_fluvial_maritima_chile,emisivo_fluvial_maritima_paraguay,emisivo_fluvial_maritima_brasil,emisivo_fluvial_maritima_ee_uu_y_canada,emisivo_fluvial_maritima_resto_de_america,emisivo_fluvial_maritima_resto_del_mundo,emisivo_fluvial_maritima_uruguay,receptivo_aerea_bolivia,receptivo_aerea_europa,receptivo_aerea_chile,receptivo_aerea_paraguay,receptivo_aerea_brasil,receptivo_aerea_ee_uu_y_canada,receptivo_aerea_resto_de_america,receptivo_aerea_resto_del_mundo,receptivo_aerea_uruguay,receptivo_terrestre_bolivia,receptivo_terrestre_europa,receptivo_terrestre_chile,receptivo_terrestre_paraguay,receptivo_terrestre_brasil,receptivo_terrestre_ee_uu_y_canada,receptivo_terrestre_resto_de_america,receptivo_terrestre_resto_del_mundo,receptivo_terrestre_uruguay,receptivo_fluvial_maritima_bolivia,receptivo_fluvial_maritima_europa,receptivo_fluvial_maritima_chile,receptivo_fluvial_maritima_paraguay,receptivo_fluvial_maritima_brasil,receptivo_fluvial_maritima_ee_uu_y_canada,receptivo_fluvial_maritima_resto_de_america,receptivo_fluvial_maritima_resto_del_mundo,receptivo_fluvial_maritima_uruguay,balanza_aerea_bolivia,balanza_aerea_europa,balanza_aerea_chile,balanza_aerea_paraguay,balanza_aerea_brasil,balanza_aerea_ee_uu_y_canada,balanza_aerea_resto_de_america,balanza_aerea_resto_del_mundo,balanza_aerea_uruguay,balanza_terrestre_bolivia,balanza_terrestre_europa,balanza_terrestre_chile,balanza_terrestre_paraguay,balanza_terrestre_brasil,balanza_terrestre_ee_uu_y_canada,balanza_terrestre_resto_de_america,balanza_terrestre_resto_del_mundo,balanza_terrestre_uruguay,balanza_fluvial_maritima_bolivia,balanza_fluvial_maritima_europa,balanza_fluvial_maritima_chile,balanza_fluvial_maritima_paraguay,balanza_fluvial_maritima_brasil,balanza_fluvial_maritima_ee_uu_y_canada,balanza_fluvial_maritima_resto_de_america,balanza_fluvial_maritima_resto_del_mundo,balanza_fluvial_maritima_uruguay
2024-06-01,2343,73894,26657,3276,39710,50663,69856,7850,3997,16102,6,44338,61601,33761,7,40,4,25148,1721,83,15,4743,5165,119,406,30,29176,2261,21211,20373,2941,69535,21216,31581,5737,4327,6997,4926,13954,26266,32822,3316,6000,1404,28517,1018,1694,949,2651,10921,2094,5887,580,21995,-82,-52683,-6283,-335,29825,-29447,-38275,-2113,329,-9105,4920,-30384,-35335,-939,3308,5959,1399,3369,-703,1610,934,-2092,5755,1974,5480,549,-7181
2024-07-01,2627,71239,37692,2445,61555,69443,64824,6654,3558,29805,32,81508,95223,59452,48,334,36,29065,3250,0,14,9293,6290,0,0,0,32224,2931,22287,25552,4365,108111,21132,37509,5840,8369,12182,7514,24940,38891,54940,3116,8429,1453,63303,1936,2538,1206,4371,18402,2153,7619,687,41589,304,-48952,-12139,1919,46556,-48311,-27314,-814,4810,-17623,7481,-56568,-56332,-4512,3067,8094,1417,34237,-1314,2538,1192,-4922,12112,2153,7619,687,9365
2024-08-01,3400,79486,26944,3777,45400,54321,62245,5811,4774,24401,51,58909,58012,32164,71,465,51,18695,2557,21,24,5178,4756,13,77,3,22076,2367,34410,22675,4190,93734,23522,46469,6980,5026,8046,11204,18912,28360,37223,2644,8530,1599,38694,1202,3177,989,3184,12758,1616,8696,679,28506,-1033,-45076,-4268,413,48334,-30799,-15776,1168,252,-16355,11152,-39997,-29652,5058,2572,8064,1547,19998,-1355,3155,965,-1994,8001,1603,8618,675,6430
2024-09-01,3636,91168,26622,3412,49077,53550,60913,8632,4501,22004,158,88973,60015,39992,133,958,87,22082,2652,28,38,5439,5099,18,112,4,30659,2650,26696,30086,3639,67287,17184,41697,6612,6055,8044,8713,42641,29420,40338,2931,9298,2356,62856,1177,3036,1825,3207,13265,1790,8355,842,42907,-985,-64471,3464,227,18210,-36365,-19216,-2020,1554,-13960,8554,-46332,-30595,345,2797,8339,2268,40773,-1475,3007,1787,-2232,8165,1771,8242,837,12248
2024-10-01,3074,85367,34673,3797,67045,54128,61731,9391,3497,16277,53,118313,63457,47829,57,425,37,30717,1775,124,32,5664,5651,82,474,3,40429,3054,31711,25639,3233,54527,22480,46052,7972,3734,9522,17148,27146,29860,35438,6041,11076,4499,39323,1301,4545,1144,3278,10515,3074,10185,1351,30156,-20,-53655,-9034,-563,-12517,-31647,-15678,-1419,236,-6755,17094,-91167,-33597,-12391,5983,10650,4461,8605,-474,4420,1112,-2386,4863,2991,9711,1348,-10273
2024-11-01,2063,54480,27874,5048,67899,45443,73647,8009,4352,17623,22,130526,75992,53805,22,152,15,34881,2032,330,123,5641,6258,218,1302,0,44554,2796,54241,30003,3204,57617,35669,49585,11065,3153,8985,36289,45091,26639,40515,10659,11985,6225,35581,1120,12809,1225,2957,11790,6426,9892,2083,29657,733,-239,2129,-1843,-10281,-9773,-24061,3055,-1198,-8638,36266,-85435,-49353,-13290,10636,11832,6209,699,-912,12478,1102,-2684,5531,6207,8589,2083,-14897
2024-12-01,1867,26345,23358,3472,71039,38655,62794,4787,3524,19810,122,170173,65186,64699,136,825,42,43872,4045,0,513,6571,20682,0,0,0,61116,3197,57725,29764,3139,70351,44295,42036,15112,2903,12391,30498,57469,35755,51096,13600,12353,10504,30302,1969,11056,1603,3812,14644,20178,11183,5536,26752,1329,31380,6406,-333,-687,5640,-20757,10324,-620,-7419,30375,-112704,-29431,-13603,13463,11527,10461,-13570,-2076,11056,1090,-2759,-6038,20178,11183,5536,-34364
2025-01-01,4517,60125,30397,2265,182641,55682,108538,9738,12673,50931,400,409962,212802,421533,305,3075,255,185947,6863,350,948,20371,27945,504,2114,83,116285,3426,86629,22982,2468,53177,57782,50134,14321,2468,18964,35624,75140,46741,63854,13117,14778,12814,35390,2676,18567,2433,5010,24681,22455,10309,7419,17231,-1090,26503,-7414,202,-129463,2099,-58404,4582,-10205,-31967,35223,-334822,-166061,-357679,12811,11702,12558,-150557,-4187,18216,1485,-15361,-3264,21950,8194,7335,-99054
2025-02-01,3631,62304,30759,3679,206604,61587,113148,13380,9081,49137,198,337105,129421,466551,199,1246,158,180583,6855,1,889,8874,30477,0,0,0,107929,1840,57720,25304,2226,21105,34128,28516,13784,2219,11280,32156,89975,32330,23151,11136,8634,11528,25153,1887,19678,4002,3161,14808,22965,6398,5619,17601,-1791,-4584,-5454,-1453,-185498,-27459,-84631,403,-6862,-37857,31957,-247130,-97091,-443400,10936,7388,11369,-155430,-4968,19677,3113,-5713,-15669,22965,6398,5619,-90328
2025-03-01,4004,52505,31835,5192,178700,66323,108667,14692,5893,49056,443,259932,93164,233385,680,2845,460,98671,6480,159,500,5503,22322,160,573,30,83426,2463,66339,20549,3431,37580,47214,36110,14995,3684,9213,29453,40001,28962,32717,12293,9339,9818,25051,1508,13567,1737,2293,8449,19122,7930,4675,26496,-1540,13833,-11285,-1761,-141119,-19108,-72557,303,-2208,-39843,29009,-219931,-64202,-200668,11612,6493,9357,-73620,-4972,13407,1237,-3210,-13873,18961,7357,4644,-56930
2025-04-01,3135,52500,36085,3749,120315,51849,82168,12584,4112,21461,320,180562,90668,105980,337,1745,342,47555,4118,198,84,6704,9607,222,651,40,44059,2476,44436,20102,3360,40131,26645,37418,10666,3922,8203,20046,33087,34228,31999,5399,9007,5769,43239,1880,6583,884,2900,8886,2819,7361,2036,31637,-659,-8064,-15982,-388,-80184,-25204,-44749,-1918,-190,-13258,19725,-147475,-56440,-73981,5061,7261,5426,-4316,-2238,6384,800,-3804,-721,2597,6709,1995,-12422
2025-05-01,3329,87551,36045,4492,86228,61339,88914,12685,3527,22422,113,128866,77877,56699,134,732,136,26244,4827,0,31,6051,6056,0,0,0,38529,2487,29569,20544,2987,45780,19207,32640,7525,2851,7546,9123,21025,27051,24370,2999,6517,2724,20508,1773,2954,758,2607,7827,2320,5763,1270,21178,-842,-57982,-15500,-1505,-40447,-42132,-56274,-5160,-675,-14876,9009,-107841,-50826,-32329,2864,5784,2587,-5736,-3054,2954,727,-3444,1771,2320,5763,1270,-17351
2025-06-01,4242,87920,32278,4436,73880,68333,87117,6134,2756,20106,84,72938,70860,43938,100,570,68,22630,4235,0,16,4942,4940,0,0,0,31238,2681,21390,18913,3171,59982,19151,29527,6013,3405,6518,4821,16633,24107,24445,2385,5775,1242,39452,1316,2030,710,2538,8168,2323,4640,756,22016,-1560,-66530,-13364,-1264,-13897,-49182,-57590,-121,649,-13588,4736,-56305,-46753,-19493,2284,5204,1173,16821,-2919,2030,694,-2404,3228,2323,4640,756,-9222
2025-07-01,3390,91590,40563,4102,91515,59316,94039,6215,2897,39011,13,112152,112254,93873,19,138,14,30463,7802,38,15,10139,8212,49,156,6,35074,2784,21963,19863,4076,93273,19907,33698,5990,6700,9628,8132,20550,34687,38990,2457,6696,1434,49744,2130,3116,787,3583,12614,2497,6258,739,34888,-606,-69626,-20700,-25,1758,-39409,-60341,-225,3802,-29383,8118,-91602,-77567,-54883,2437,6558,1419,19280,-5672,3077,772,-6556,4401,2448,6101,732,-186
2025-08-01,4013,107729,42493,4643,103359,60635,97115,7474,3430,34785,6,85030,99735,56954,8,54,6,27861,6290,0,14,7220,5660,0,0,0,43909,2122,34166,21967,3773,82199,22332,40803,8471,3479,8103,11694,18266,28639,31576,2122,6775,1964,31273,1650,3710,639,2830,8758,1939,6479,922,31876,-1890,-73563,-20526,-870,-21159,-38302,-56311,996,49,-26682,11688,-66764,-71096,-25378,2113,6720,1958,3411,-4640,3710,625,-4390,3098,1939,6479,922,-12033
2025-09-01,3563,104248,32340,5092,96714,50378,81401,9658,2733,26865,110,91027,71443,53587,93,671,61,24115,4892,31,30,5555,5005,20,124,5,36668,2362,28365,23233,3758,59665,17826,40269,8841,4121,7181,9775,26984,26489,29905,2661,8412,3034,36051,1514,3576,1275,2719,9423,2071,7532,1081,30349,-1201,-75883,-9107,-1333,-37049,-32552,-41131,-816,1387,-19684,9664,-64043,-44954,-23682,2567,7740,2972,11935,-3378,3544,1245,-2836,4418,2050,7407,1075,-6319
2025-10-01,2766,94820,33324,5529,101415,54255,85182,12437,2888,19532,59,106859,69691,52312,62,467,41,27717,3756,18,46,5463,6469,12,69,0,39754,2650,34823,22436,4213,55105,22488,45064,10526,3578,8341,19106,24758,26120,30410,4951,9697,4928,28325,1691,6347,983,2605,9858,3870,9186,1792,26948,-115,-59997,-10887,-1315,-46309,-31766,-40118,-1911,689,-11191,19046,-82101,-43571,-21902,4888,9229,4886,607,-2065,6328,937,-2858,3388,3857,9116,1792,-12806
2025-11-01,3279,59071,33720,6451,111501,37873,94056,7306,5097,22185,0,135900,69505,60865,0,0,0,43057,3894,7,50,5162,5998,0,0,0,59347,3064,60989,28431,4897,54778,38213,51675,14411,3873,7713,36655,33135,27906,33559,8506,10500,6764,30533,1544,10402,848,2550,8708,5925,9303,2860,38408,-215,1918,-5289,-1554,-56723,340,-42381,7105,-1224,-14472,36655,-102765,-41599,-27306,8506,10500,6764,-12524,-2350,10395,798,-2612,2710,5925,9303,2860,-20939
2025-12-01,2326,26028,27231,5028,107460,30761,85347,3732,6203,20769,0,129310,64094,64911,0,0,0,43709,3330,0,829,5950,10637,0,0,0,67584,2714,60695,33965,3517,46954,45478,44254,18734,3499,10936,29910,51519,33197,35004,11227,11381,11028,25008,1839,14652,1425,3115,12356,24289,13728,8221,25973,388,34667,6734,-1511,-60506,14717,-41093,15002,-2704,-9833,29910,-77791,-30897,-29907,11227,11381,11028,-18701,-1491,14652,596,-2835,1719,24289,13728,8221,-41611
2026-01-01,4747,58265,46525,7022,259979,51223,139707,9419,14050,46991,0,295022,207302,286427,0,0,0,165998,5956,1,1134,17614,24312,0,0,0,124139,3688,89175,27808,3561,62842,70363,54416,18834,2648,17268,35419,64548,41974,60385,11687,13894,15614,34102,2673,17381,1897,4098,16969,26738,10153,7809,16481,-1059,30910,-18717,-3461,-197137,19140,-85291,9415,-11402,-29723,35419,-230474,-165328,-226042,11687,13894,15614,-131896,-3283,17380,763,-13516,-7343,26738,10153,7809,-107658
2026-02-01,5995,56632,39831,5802,263748,61143,148489,11662,10167,70201,0,218545,129711,301389,0,0,0,152121,7837,0,528,8899,22378,0,0,1,114962,2529,61686,28857,3830,35698,44026,31957,16298,2528,10458,32807,86150,28908,28667,10740,9053,13115,29305,1769,21066,3097,2813,8597,24805,7280,6517,20524,-3466,5054,-10974,-1972,-228050,-17117,-116532,4636,-7639,-59743,32807,-132395,-100803,-272722,10740,9053,13115,-122816,-6068,21066,2569,-6086,-13781,24805,7280,6516,-94438
